Time (msec),A/F Correction #3 (32-bit ECU) (%),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Pump Duty (%),Ignition Total Timing (degrees),Injector Duty Cycle (%),Learned Ignition Timing (degrees),Manifold Absolute Pressure (bar),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Roughness Monitor Cylinder #1 (misfire count),Roughness Monitor Cylinder #2 (misfire count),Roughness Monitor Cylinder #3 (misfire count),Roughness Monitor Cylinder #4 (misfire count),Vehicle Speed (kph)
0,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
63,-0.31,0.24,688,0.00,33.33,15.50,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
125,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
188,-0.31,0.24,706,0.00,33.33,14.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
250,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.79,0.00,0,0,0,0,0
313,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
391,-0.31,0.24,703,0.00,33.33,16.50,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
438,-0.31,0.24,695,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
500,-0.31,0.24,687,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
563,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
625,-0.31,0.24,704,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
688,-0.31,0.24,701,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
751,-0.31,0.24,694,0.00,33.33,15.00,1.04,0.00,0.300,2.80,0.00,0,0,0,0,0
813,-0.31,0.24,690,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
876,-0.31,0.24,699,0.00,33.33,16.00,1.04,0.00,0.300,2.75,0.00,0,0,0,0,0
938,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
1001,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
1063,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.79,0.00,0,0,0,0,0
1126,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.79,0.00,0,0,0,0,0
1188,-0.31,0.24,709,0.00,33.33,14.00,1.06,0.00,0.300,2.79,0.00,0,0,0,0,0
1251,-0.31,0.23,702,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
1313,-0.31,0.23,710,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
1376,-0.31,0.24,716,0.00,33.33,13.50,1.07,0.00,0.300,2.80,0.00,0,0,0,0,0
1454,-0.31,0.24,705,0.00,33.33,14.50,1.05,0.00,0.300,2.81,0.00,0,0,0,0,0
1516,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
1579,-0.31,0.24,708,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
1641,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
1704,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
1766,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
1829,-0.31,0.24,708,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
1891,-0.31,0.23,712,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
1954,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
2016,-0.31,0.24,691,0.00,33.33,16.00,1.03,0.00,0.300,2.80,0.00,0,0,0,0,0
2079,-0.31,0.24,700,0.00,33.33,16.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
2141,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
2204,-0.31,0.24,696,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
2266,-0.31,0.24,695,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
2329,-0.31,0.24,704,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
2391,-0.31,0.24,707,0.00,33.33,14.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
2454,-0.31,0.24,700,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
2516,-0.31,0.24,699,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
2579,-0.31,0.24,707,0.00,33.33,14.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
2641,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
2712,-0.31,0.24,700,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
2767,-0.31,0.24,707,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
2829,-0.31,0.24,708,0.00,33.33,14.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
2897,-0.31,0.23,701,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
2960,-0.31,0.23,708,0.00,33.33,14.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
3022,-0.31,0.24,715,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
3085,-0.31,0.23,714,0.00,33.33,13.50,1.07,0.00,0.300,2.78,0.00,0,0,0,0,0
3153,-0.31,0.24,706,0.00,33.33,14.00,1.06,0.00,0.300,2.81,0.00,0,0,0,0,0
3215,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.81,0.00,0,0,0,0,0
3278,-0.31,0.24,713,0.00,33.33,14.50,1.05,0.00,0.300,2.81,0.00,0,0,0,0,0
3340,-0.31,0.24,707,0.00,33.33,14.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
3403,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
3465,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
3528,-0.31,0.24,701,0.00,33.33,16.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
3590,-0.31,0.24,699,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
3655,-0.31,0.24,694,0.00,33.33,15.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
3715,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
3777,-0.31,0.24,700,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
3840,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
3902,-0.31,0.23,697,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
3965,-0.31,0.24,708,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
4027,-0.31,0.24,706,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
4090,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
4152,-0.31,0.24,690,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
4215,-0.31,0.24,700,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
4277,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
4340,-0.31,0.24,696,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
4402,-0.31,0.24,699,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
4465,-0.31,0.24,708,0.00,33.33,15.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
4527,-0.31,0.24,706,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
4590,-0.31,0.24,698,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
4652,-0.31,0.24,690,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
4715,-0.31,0.24,701,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
4789,-0.31,0.24,705,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
4852,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
4914,-0.31,0.24,692,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
4977,-0.31,0.24,699,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
5039,-0.31,0.24,697,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
5102,-0.31,0.23,698,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
5164,-0.31,0.24,708,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
5227,-0.31,0.24,714,0.00,33.33,13.50,1.07,0.00,0.300,2.78,0.00,0,0,0,0,0
5289,-0.31,0.23,706,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
5352,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
5414,-0.31,0.24,710,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
5477,-0.31,0.24,709,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
5539,-0.31,0.24,703,0.00,33.33,14.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
5602,-0.31,0.24,700,0.00,33.33,15.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
5664,-0.31,0.24,708,0.00,33.33,15.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
5727,-0.31,0.23,708,0.00,33.33,14.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
5789,-0.31,0.23,706,0.00,33.33,13.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
5852,-0.31,0.24,705,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
5914,-0.31,0.24,712,0.00,33.33,15.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
5977,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
6039,-0.31,0.24,704,0.00,33.33,15.00,1.05,0.00,0.300,2.81,0.00,0,0,0,0,0
6102,-0.31,0.24,691,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
6164,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
6227,-0.31,0.24,700,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
6289,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
6352,-0.31,0.24,705,0.00,33.33,16.50,1.02,0.00,0.300,2.77,0.00,0,0,0,0,0
6414,-0.31,0.24,690,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
6492,-0.31,0.24,685,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
6555,-0.31,0.24,692,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
6617,-0.31,0.24,701,0.00,33.33,16.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
6680,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
6742,-0.31,0.24,681,0.00,33.33,17.00,1.02,0.00,0.300,2.78,0.00,0,0,0,0,0
6805,-0.31,0.24,684,0.00,33.33,17.00,1.17,0.00,0.300,2.75,0.00,0,0,0,0,0
6867,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
6930,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.80,0.00,0,0,0,0,0
6992,-0.31,0.24,692,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
7055,-0.31,0.24,699,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
7122,-0.31,0.24,700,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
7181,-0.31,0.24,690,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
7243,-0.31,0.24,692,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
7306,-0.31,0.24,702,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
7368,-0.31,0.24,705,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
7431,-0.31,0.24,698,0.00,33.33,14.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
7498,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
7560,-0.31,0.24,704,0.00,33.33,15.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
7623,-0.31,0.23,708,0.00,33.33,14.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
7685,-0.31,0.23,706,0.00,33.33,13.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
7748,-0.31,0.23,713,0.00,33.33,14.00,1.06,0.00,0.300,2.80,0.00,0,0,0,0,0
7810,-0.31,0.24,714,0.00,33.33,15.50,1.07,0.00,0.300,2.80,0.00,0,0,0,0,0
7873,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.80,0.00,0,0,0,0,0
7935,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
7998,-0.31,0.24,703,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
8060,-0.31,0.23,711,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
8123,-0.31,0.23,714,0.00,33.33,13.50,1.07,0.00,0.300,2.78,0.00,0,0,0,0,0
8185,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
8248,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.80,0.00,0,0,0,0,0
8310,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
8373,-0.31,0.24,698,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
8435,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
8498,-0.31,0.24,708,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
8560,-0.31,0.24,706,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
8623,-0.31,0.23,705,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
8685,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.80,0.00,0,0,0,0,0
8748,-0.31,0.24,717,0.00,33.33,14.50,1.05,0.00,0.300,2.80,0.00,0,0,0,0,0
8810,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.81,0.00,0,0,0,0,0
8878,-0.31,0.24,692,0.00,33.33,15.00,1.05,0.00,0.300,2.80,0.00,0,0,0,0,0
8940,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
9003,-0.31,0.24,707,0.00,33.33,15.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
9065,-0.31,0.24,701,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
9128,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
9190,-0.31,0.24,690,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
9253,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
9315,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
9378,-0.31,0.23,702,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
9440,-0.31,0.24,703,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
9503,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
9565,-0.31,0.23,710,0.00,33.33,14.00,1.06,0.00,0.300,2.80,0.00,0,0,0,0,0
9628,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.81,0.00,0,0,0,0,0
9690,-0.31,0.24,708,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
9753,-0.31,0.24,712,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
9815,-0.31,0.24,700,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
9878,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
9953,-0.31,0.24,705,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
10015,-0.31,0.23,713,0.00,33.33,13.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
10078,-0.31,0.23,706,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
10140,-0.31,0.24,705,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
10203,-0.31,0.24,706,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
10265,-0.31,0.23,708,0.00,33.33,14.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
10328,-0.31,0.23,703,0.00,33.33,14.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
10390,-0.31,0.24,699,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
10453,-0.31,0.24,700,0.00,33.33,16.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
10515,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
10583,-0.31,0.24,693,0.00,33.33,14.50,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
10646,-0.31,0.24,699,0.00,33.33,15.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
10708,-0.31,0.24,708,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
10771,-0.31,0.23,713,0.00,33.33,13.50,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
10833,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
10896,-0.31,0.24,700,0.00,33.33,15.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
10958,-0.31,0.24,708,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
11021,-0.31,0.24,707,0.00,33.33,14.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
11083,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
11146,-0.31,0.24,703,0.00,33.33,15.50,1.04,0.00,0.300,2.80,0.00,0,0,0,0,0
11208,-0.31,0.24,711,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
11271,-0.31,0.24,703,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
11333,-0.31,0.24,693,0.00,33.33,16.00,1.03,0.00,0.300,2.80,0.00,0,0,0,0,0
11396,-0.31,0.24,700,0.00,33.33,16.50,1.03,0.00,0.300,2.80,0.00,0,0,0,0,0
11458,-0.31,0.24,693,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
11521,-0.31,0.24,691,0.00,33.33,15.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
11583,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
11646,-0.31,0.24,707,0.00,33.33,16.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
11708,-0.31,0.24,693,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
11771,-0.31,0.24,689,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
11833,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
11896,-0.31,0.24,708,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
11958,-0.31,0.24,695,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
12021,-0.31,0.24,686,0.00,33.33,17.00,1.02,0.00,0.300,2.78,0.00,0,0,0,0,0
12099,-0.31,0.24,698,0.00,33.33,16.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
12146,-0.31,0.24,704,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
12221,-0.31,0.24,692,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
12283,-0.31,0.24,695,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
12346,-0.31,0.24,702,0.00,33.33,15.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
12408,-0.31,0.24,700,0.00,33.33,15.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
12471,-0.31,0.24,691,0.00,33.33,15.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
12533,-0.31,0.24,700,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
12596,-0.31,0.24,708,0.00,33.33,15.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
12658,-0.31,0.24,709,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
12721,-0.31,0.23,702,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
12783,-0.31,0.24,704,0.00,33.33,14.50,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
12846,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
12908,-0.31,0.23,711,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
12971,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.80,0.00,0,0,0,0,0
13033,-0.31,0.24,688,0.00,33.33,16.50,1.03,0.00,0.300,2.80,0.00,0,0,0,0,0
13096,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
13158,-0.31,0.24,689,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
13221,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
13283,-0.31,0.24,706,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
13346,-0.31,0.23,708,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
13408,-0.31,0.24,699,0.00,33.33,15.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
13471,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.80,0.00,0,0,0,0,0
13533,-0.31,0.24,707,0.00,33.33,15.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
13596,-0.31,0.24,710,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
13665,-0.31,0.24,701,0.00,33.33,14.00,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
13727,-0.31,0.24,691,0.00,33.33,16.00,1.03,0.00,0.300,2.78,0.00,0,0,0,0,0
13790,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.80,0.00,0,0,0,0,0
13852,-0.31,0.24,703,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
13915,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
13977,-0.31,0.24,694,0.00,33.33,15.50,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
14040,-0.31,0.24,703,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
14102,-0.31,0.24,694,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
14165,-0.31,0.24,696,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
14227,-0.31,0.24,706,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
14290,-0.31,0.24,707,0.00,33.33,14.50,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
14352,-0.31,0.24,698,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
14415,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
14477,-0.31,0.24,710,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
14540,-0.31,0.24,709,0.00,33.33,14.00,1.06,0.00,0.300,2.78,0.00,0,0,0,0,0
14602,-0.31,0.24,694,0.00,33.33,15.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
14665,-0.31,0.24,698,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
14727,-0.31,0.24,702,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
14790,-0.31,0.23,709,0.00,33.33,14.00,1.06,0.00,0.300,2.77,0.00,0,0,0,0,0
14868,-0.31,0.23,699,0.00,33.33,14.00,1.04,0.00,0.300,2.77,0.00,0,0,0,0,0
14920,-0.31,0.24,701,0.00,33.33,15.00,1.05,0.00,0.300,2.77,0.00,0,0,0,0,0
14983,-0.31,0.24,705,0.00,33.33,15.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
15045,-0.31,0.24,705,0.00,33.33,14.50,1.05,0.00,0.300,2.78,0.00,0,0,0,0,0
15108,-0.31,0.24,697,0.00,33.33,15.50,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
15170,-0.31,0.24,700,0.00,33.33,15.00,1.04,0.00,0.300,2.78,0.00,0,0,0,0,0
15233,-0.31,0.24,706,0.00,33.33,14.50,1.05,0.00,0.300,2.80,0.00,0,0,0,0,0
15311,-0.31,0.24,701,0.00,33.33,15.00,1.05,0.00,0.300,2.80,0.00,0,0,0,0,0
15358,-0.31,0.24,692,0.00,33.33,16.00,1.03,0.00,0.300,2.77,0.00,0,0,0,0,0
