Time (msec),A/F Correction #1 (%),A/F Correction #3 (16-bit ECU) (%),A/F Correction #3 (32-bit ECU) (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),A/F Sensor #1 Current (mA),A/F Sensor #1 Resistance (ohms),Accelerator Pedal Angle (%),Battery Voltage (V),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Consumption (Est.) (l/100km),Fuel Pump Duty (%),IAM (multiplier),Intake Air Temperature (C),Primary Wastegate Duty Cycle (%),Vehicle Speed (kph)
0,-6.25,-47.66,0.23,3.12,14.81,0.00,31,9.80,14.24,1770,0.00,34.87,33.33,0.8750,32,0.00,15
203,-4.69,-47.66,0.23,3.12,15.04,0.12,31,9.80,14.32,1788,0.00,31.31,33.33,0.8750,32,0.00,16
406,-2.34,-47.66,0.23,3.12,15.16,0.12,31,9.80,14.24,1806,0.00,29.96,33.33,0.8750,32,0.00,17
609,-0.78,-48.44,0.16,3.12,15.16,0.12,31,9.80,14.08,1833,0.00,30.22,33.33,0.8750,32,0.00,17
828,0.78,-48.44,0.16,3.12,15.16,0.12,31,9.80,14.32,1873,0.00,28.88,33.33,0.8750,32,0.00,18
1031,3.12,-49.22,0.08,3.12,15.16,0.12,31,9.41,14.32,1918,0.00,26.61,33.33,0.8750,32,0.00,19
1234,4.69,-50.00,0.00,3.12,15.16,0.12,31,9.41,14.16,1946,0.00,25.97,33.33,0.8750,32,0.00,19
1453,6.25,-49.22,0.08,3.12,15.04,0.00,31,9.41,14.24,1880,0.00,26.00,33.33,0.8750,32,0.00,20
1656,7.03,-49.22,0.08,3.12,14.93,0.00,31,11.37,14.16,1736,0.00,28.58,33.33,0.8750,32,0.00,20
1859,7.03,-47.66,0.23,3.12,14.47,-0.12,31,11.76,14.24,1776,0.25,29.24,33.33,0.8750,32,0.00,21
2078,2.34,-46.88,0.31,3.12,13.78,-0.25,31,15.29,14.16,1792,0.25,31.13,33.33,0.8750,32,0.00,22
2281,1.56,-46.88,0.31,3.12,14.36,-0.12,31,15.29,14.24,1855,0.25,31.59,33.33,0.8750,32,0.00,22
2484,3.12,-47.66,0.23,3.12,14.93,0.00,31,15.29,14.16,1906,0.25,30.36,33.33,0.8750,31,0.00,23
2687,3.91,-48.44,0.16,3.12,14.93,0.00,31,15.29,14.24,1951,0.25,30.35,33.33,0.8750,31,0.00,24
2891,4.69,-48.44,0.16,3.12,14.81,0.00,31,15.29,14.24,1962,0.00,28.82,33.33,0.8750,31,0.00,25
3089,5.47,-48.44,0.16,3.12,14.81,0.00,31,14.90,14.32,2000,0.00,29.36,33.33,0.8750,31,0.00,25
3292,6.25,-48.44,0.16,3.12,14.70,0.00,31,14.90,14.32,2028,0.00,27.91,33.33,0.8750,31,0.00,26
3511,5.47,-47.66,0.23,3.12,14.59,0.00,31,14.90,14.32,2024,0.00,28.03,33.33,0.8750,31,0.00,27
3714,5.47,-47.66,0.23,3.12,14.59,0.00,31,14.90,14.16,2042,0.00,27.92,33.33,0.8750,31,0.00,28
3917,5.47,-47.66,0.23,3.12,14.59,0.00,31,13.73,14.24,2064,0.00,25.91,33.33,0.8750,30,0.00,29
4120,4.69,-47.66,0.23,3.12,14.47,-0.12,31,12.94,14.32,2067,0.00,24.32,33.33,0.8750,30,0.00,29
4323,4.69,-47.66,0.23,3.12,14.47,0.00,31,12.55,14.32,1992,0.00,22.76,33.33,0.8750,30,0.00,30
4526,4.69,-47.66,0.23,3.12,14.59,0.00,31,10.98,14.16,1985,0.00,20.29,33.33,0.8750,30,0.00,31
4729,3.91,-47.66,0.23,3.12,14.59,0.00,31,10.98,14.32,2033,0.00,19.89,33.33,0.8750,30,0.00,31
5842,4.69,-47.66,0.23,3.12,14.81,0.00,31,27.45,14.24,2094,0.00,28.40,33.33,0.8750,30,0.00,32
5873,0.00,-48.44,0.16,2.34,12.52,-0.75,31,97.25,14.16,3490,0.00,99.42,66.67,0.8750,29,43.92,34
5873,0.00,-48.44,0.16,2.34,12.98,-0.50,31,97.25,14.08,3684,0.00,130.11,100.00,0.8750,29,44.71,35
5873,0.00,-48.44,0.16,3.12,14.81,0.00,31,97.25,14.32,2427,0.75,52.32,66.67,0.8750,30,34.12,32
5873,0.00,-48.44,0.16,3.12,13.09,-0.50,31,97.25,14.32,2880,0.25,71.68,66.67,0.8750,29,43.14,33
5935,0.00,-48.44,0.16,2.34,11.60,-1.12,31,97.25,14.08,4058,0.00,172.17,100.00,0.8750,29,46.27,38
6138,0.00,-48.44,0.16,2.34,11.25,-1.25,30,97.25,14.08,4365,0.00,187.17,100.00,0.8750,28,50.20,42
