Time (msec),A/F Correction #1 (%),A/F Correction #3 (16-bit ECU) (%),A/F Correction #3 (32-bit ECU) (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),A/F Sensor #1 Current (mA),A/F Sensor #1 Resistance (ohms),Accelerator Pedal Angle (%),Battery Voltage (V),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Consumption (Est.) (l/100km),Fuel Pump Duty (%),IAM (multiplier),Intake Air Temperature (C),Primary Wastegate Duty Cycle (%),Vehicle Speed (kph)
0,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.00,603,0.00,0.00,33.33,0.9375,28,0.00,0
203,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,619,0.00,0.00,33.33,0.9375,28,0.00,0
406,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.48,706,0.00,0.00,33.33,0.9375,28,0.00,0
610,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,790,0.00,0.00,33.33,0.9375,28,0.00,0
813,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,792,0.00,0.00,33.33,0.9375,28,0.00,0
1016,-1.56,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.32,760,0.00,0.00,33.33,0.9375,28,0.00,0
1235,-1.56,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.24,754,0.00,0.00,33.33,0.9375,28,0.00,0
1438,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,741,0.00,0.00,33.33,0.9375,28,0.00,0
1641,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,747,0.00,0.00,33.33,0.9375,28,0.00,0
1844,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.48,737,0.00,0.00,33.33,0.9375,28,0.00,0
2063,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,733,0.00,0.00,33.33,0.9375,28,0.00,0
2266,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.48,730,0.00,0.00,33.33,0.9375,29,0.00,0
2469,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.40,726,0.00,0.00,33.33,0.9375,29,0.00,0
2672,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.32,716,0.00,0.00,33.33,0.9375,29,0.00,0
2875,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,722,0.00,0.00,33.33,0.9375,29,0.00,0
3079,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,712,0.00,0.00,33.33,0.9375,29,0.00,0
3282,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.32,724,0.00,0.00,33.33,0.9375,29,0.00,0
3485,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.32,720,0.00,0.00,33.33,0.9375,29,0.00,0
3688,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,727,0.00,0.00,33.33,0.9375,29,0.00,0
3891,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,712,0.00,0.00,33.33,0.9375,29,0.00,0
4094,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,718,0.00,0.00,33.33,0.9375,29,0.00,0
4298,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,717,0.00,0.00,33.33,0.9375,29,0.00,0
4501,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,708,0.00,0.00,33.33,0.9375,29,0.00,0
4704,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,713,0.00,0.00,33.33,0.9375,29,0.00,0
4907,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,703,0.00,0.00,33.33,0.9375,29,0.00,0
5110,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,708,0.00,0.00,33.33,0.9375,29,0.00,0
5314,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,704,0.00,0.00,33.33,0.9375,29,0.00,0
5517,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,701,0.00,0.00,33.33,0.9375,29,0.00,0
5720,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,702,0.00,0.00,33.33,0.9375,29,0.00,0
5939,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,696,0.00,0.00,33.33,0.9375,29,0.00,0
