Time (msec),A/F Correction #1 (%),A/F Correction #3 (16-bit ECU) (%),A/F Correction #3 (32-bit ECU) (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),A/F Sensor #1 Current (mA),A/F Sensor #1 Resistance (ohms),Accelerator Pedal Angle (%),Battery Voltage (V),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Consumption (Est.) (l/100km),Fuel Pump Duty (%),IAM (multiplier),Intake Air Temperature (C),Primary Wastegate Duty Cycle (%),Vehicle Speed (kph)
6142,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,702,0.00,0.00,33.33,0.9375,29,0.00,0
6345,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,705,0.00,0.00,33.33,0.9375,29,0.00,0
6548,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,701,0.00,0.00,33.33,0.9375,29,0.00,0
6767,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,704,0.00,0.00,33.33,0.9375,29,0.00,0
6970,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,692,0.00,0.00,33.33,0.9375,29,0.00,0
7173,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,702,0.00,0.00,33.33,0.9375,29,0.00,0
7392,0.00,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.32,699,0.00,0.00,33.33,0.9375,29,0.00,0
7579,0.00,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.16,691,0.00,0.00,33.33,0.9375,29,0.00,0
7798,0.00,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.24,694,0.00,0.00,33.33,0.9375,29,0.00,0
8001,0.00,-47.66,0.23,0.00,14.70,0.00,31,0.00,14.40,686,0.00,0.00,33.33,0.9375,29,0.00,0
8204,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,688,0.00,0.00,33.33,0.9375,29,0.00,0
8423,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,696,0.00,0.00,33.33,0.9375,29,0.00,0
8626,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,692,0.00,0.00,33.33,0.9375,29,0.00,0
8829,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,700,0.00,0.00,33.33,0.9375,29,0.00,0
9032,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,690,0.00,0.00,33.33,0.9375,29,0.00,0
9230,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,694,0.00,0.00,33.33,0.9375,29,0.00,0
9449,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,696,0.00,0.00,33.33,0.9375,29,0.00,0
9652,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,689,0.00,0.00,33.33,0.9375,29,0.00,0
9855,0.00,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.40,693,0.00,0.00,33.33,0.9375,29,0.00,0
10058,0.00,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.16,693,0.00,0.00,33.33,0.9375,29,0.00,0
10277,0.00,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.16,684,0.00,0.00,33.33,0.9375,29,0.00,0
10480,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,693,0.00,0.00,33.33,0.9375,29,0.00,0
10683,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,690,0.00,0.00,33.33,0.9375,29,0.00,0
10886,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,698,0.00,0.00,33.33,0.9375,29,0.00,0
11105,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,698,0.00,0.00,33.33,0.9375,29,0.00,0
11308,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,677,0.00,0.00,33.33,0.9375,29,0.00,0
11511,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,678,0.00,0.00,33.33,0.9375,29,0.00,0
11714,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,680,0.00,0.00,33.33,0.9375,29,0.00,0
11918,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,652,0.00,0.00,33.33,0.9375,29,0.00,0
12121,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.08,630,0.00,0.00,33.33,0.9375,29,0.00,0
12339,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,13.76,606,0.00,0.00,33.33,0.9375,29,0.00,0
12527,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.00,606,0.00,0.00,33.33,0.9375,29,0.00,0
12746,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,616,0.00,0.00,33.33,0.9375,29,0.00,0
12949,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,662,0.00,0.00,33.33,0.9375,29,0.00,0
13152,0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,755,0.00,0.00,33.33,0.9375,29,0.00,0
13371,0.00,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.48,789,0.00,0.00,33.33,0.9375,29,0.00,0
13558,-0.78,-46.88,0.31,0.00,14.47,0.00,31,0.00,14.40,779,0.00,0.00,33.33,0.9375,29,0.00,0
13777,-0.78,-46.88,0.31,0.00,14.36,-0.12,31,0.00,14.24,745,0.00,0.00,33.33,0.9375,29,0.00,0
13980,-0.78,-46.88,0.31,0.00,14.47,-0.12,31,0.00,14.24,736,0.00,0.00,33.33,0.9375,29,0.00,0
14199,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.48,736,0.00,0.00,33.33,0.9375,29,0.00,0
14402,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,731,0.00,0.00,33.33,0.9375,29,0.00,0
14605,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,729,0.00,0.00,33.33,0.9375,29,0.00,0
14824,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,728,0.00,0.00,33.33,0.9375,29,0.00,0
15027,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,734,0.00,0.00,33.33,0.9375,29,0.00,0
15230,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,724,0.00,0.00,33.33,0.9375,29,0.00,0
15433,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,725,0.00,0.00,33.33,0.9375,29,0.00,0
15636,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,720,0.00,0.00,33.33,0.9375,29,0.00,0
15855,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.56,724,0.00,0.00,33.33,0.9375,29,0.00,0
16058,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,714,0.00,0.00,33.33,0.9375,29,0.00,0
16261,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.32,710,0.00,0.00,33.33,0.9375,29,0.00,0
16465,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.24,717,0.00,0.00,33.33,0.9375,29,0.00,0
16668,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.32,710,0.00,0.00,33.33,0.9375,29,0.00,0
16871,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.32,710,0.00,0.00,33.33,0.9375,29,0.00,0
17074,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.40,702,0.00,0.00,33.33,0.9375,29,0.00,0
17293,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.48,704,0.00,0.00,33.33,0.9375,29,0.00,0
17496,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.32,706,0.00,0.00,33.33,0.9375,29,0.00,0
17699,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.24,700,0.00,0.00,33.33,0.9375,29,0.00,0
17902,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.24,706,0.00,0.00,33.33,0.9375,29,0.00,0
18105,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.40,697,0.00,0.00,33.33,0.9375,29,0.00,0
18308,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,702,0.00,0.00,33.33,0.9375,29,0.00,0
18511,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,702,0.00,0.00,33.33,0.9375,29,0.00,0
18715,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,691,0.00,0.00,33.33,0.9375,29,0.00,0
18918,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,699,0.00,0.00,33.33,0.9375,29,0.00,0
19121,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,690,0.00,0.00,33.33,0.9375,29,0.00,0
19324,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,687,0.00,0.00,33.33,0.9375,29,0.00,0
19543,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,694,0.00,0.00,33.33,0.9375,29,0.00,0
19746,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,689,0.00,0.00,33.33,0.9375,29,0.00,0
19949,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,698,0.00,0.00,33.33,0.9375,29,0.00,0
20152,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,696,0.00,0.00,33.33,0.9375,29,0.00,0
20355,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,690,0.00,0.00,33.33,0.9375,29,0.00,0
20558,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,694,0.00,0.00,33.33,0.9375,30,0.00,0
20762,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,694,0.00,0.00,33.33,0.9375,30,0.00,0
20980,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,684,0.00,0.00,33.33,0.9375,30,0.00,0
21183,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,688,0.00,0.00,33.33,0.9375,30,0.00,0
21387,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.56,680,0.00,0.00,33.33,0.9375,30,0.00,0
21605,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,679,0.00,0.00,33.33,0.9375,30,0.00,0
21808,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,688,0.00,0.00,33.33,0.9375,30,0.00,0
22011,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,676,0.00,0.00,33.33,0.9375,30,0.00,0
22215,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,680,0.00,0.00,33.33,0.9375,30,0.00,0
22418,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,688,0.00,0.00,33.33,0.9375,30,0.00,0
22621,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.40,680,0.00,0.00,33.33,0.9375,30,0.00,0
22824,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.32,684,0.00,0.00,33.33,0.9375,30,0.00,0
23027,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,692,0.00,0.00,33.33,0.9375,30,0.00,0
23246,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,689,0.00,0.00,33.33,0.9375,30,0.00,0
23433,0.00,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.48,693,0.00,0.00,33.33,0.9375,30,0.00,0
23652,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,694,0.00,0.00,33.33,0.9375,30,0.00,0
23855,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,683,0.00,0.00,33.33,0.9375,30,0.00,0
24058,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,688,0.00,0.00,33.33,0.9375,30,0.00,0
24262,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,687,0.00,0.00,33.33,0.9375,30,0.00,0
24465,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,681,0.00,0.00,33.33,0.9375,30,0.00,0
24668,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,660,0.00,0.00,33.33,0.9375,30,0.00,0
24871,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,638,0.00,0.00,33.33,0.9375,30,0.00,0
25074,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.08,616,0.00,0.00,33.33,0.9375,30,0.00,0
25277,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,13.60,604,0.00,0.00,33.33,0.9375,30,0.00,0
25480,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,13.68,610,0.00,0.00,33.33,0.9375,30,0.00,0
25699,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.56,654,0.00,0.00,33.33,0.9375,30,0.00,0
25902,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,756,0.00,0.00,33.33,0.9375,30,0.00,0
26105,0.00,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,780,0.00,0.00,33.33,0.9375,30,0.00,0
26308,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.24,770,0.00,0.00,33.33,0.9375,30,0.00,0
26512,-0.78,-46.88,0.31,0.00,14.47,0.00,31,0.00,14.32,750,0.00,0.00,33.33,0.9375,30,0.00,0
26715,-0.78,-46.88,0.31,0.00,14.47,0.00,31,0.00,14.48,744,0.00,0.00,33.33,0.9375,30,0.00,0
26918,-0.78,-46.88,0.31,0.00,14.47,0.00,31,0.00,14.48,744,0.00,0.00,33.33,0.9375,30,0.00,0
27121,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.48,730,0.00,0.00,33.33,0.9375,30,0.00,0
27340,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.48,729,0.00,0.00,33.33,0.9375,30,0.00,0
27543,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.56,716,0.00,0.00,33.33,0.9375,30,0.00,0
27746,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.32,710,0.00,0.00,33.33,0.9375,30,0.00,0
27949,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,710,0.00,0.00,33.33,0.9375,30,0.00,0
28152,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,710,0.00,0.00,33.33,0.9375,30,0.00,0
28355,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,718,0.00,0.00,33.33,0.9375,30,0.00,0
28559,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,712,0.00,0.00,33.33,0.9375,30,0.00,0
28762,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,719,0.00,0.00,33.33,0.9375,30,0.00,0
28980,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,714,0.00,0.00,33.33,0.9375,30,0.00,0
29184,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.56,732,0.00,0.00,33.33,0.9375,30,0.00,0
29387,-0.78,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.48,724,0.00,0.00,33.33,0.9375,30,0.00,0
29585,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,722,0.00,0.00,33.33,0.9375,30,0.00,0
29789,-0.78,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,716,0.00,117.46,33.33,0.9375,30,0.00,1
30007,0.00,-46.88,0.31,0.00,14.81,0.00,31,3.14,14.16,702,0.00,121.34,33.33,0.9375,30,0.00,1
30210,0.00,-46.88,0.31,0.78,14.81,0.00,31,4.71,14.16,725,0.00,98.83,33.33,0.9375,30,0.00,2
30414,0.78,-46.88,0.31,0.78,14.93,0.00,31,5.49,14.32,864,0.00,103.77,33.33,0.9375,30,0.00,2
30617,0.78,-46.88,0.31,0.78,14.70,0.00,31,12.94,14.24,999,0.00,212.03,33.33,0.9375,30,3.14,2
30820,-2.34,-44.53,0.55,0.78,13.78,-0.25,31,12.94,14.32,1308,0.50,163.53,33.33,0.9375,30,0.00,3
31023,-6.25,-42.97,0.70,0.78,13.78,-0.25,31,12.94,14.32,1536,0.25,129.24,33.33,0.9375,30,0.00,4
31226,-7.81,-45.31,0.47,1.56,14.13,-0.12,31,12.16,14.32,1578,0.25,89.30,33.33,0.9375,30,0.00,6
31445,-7.03,-47.66,0.23,3.12,14.59,0.00,31,9.02,14.16,1613,0.25,70.80,33.33,0.9375,30,0.00,8
31648,-8.59,-47.66,0.23,3.12,14.47,-0.12,31,7.06,14.32,1589,0.00,46.13,33.33,0.9375,30,0.00,9
31851,-10.16,-45.31,0.47,3.12,14.01,-0.12,31,5.10,14.40,1488,0.00,28.29,33.33,0.9375,30,0.00,10
32054,-10.94,-45.31,0.47,3.12,14.13,-0.12,31,5.10,14.32,1346,0.00,21.89,33.33,0.9375,30,0.00,11
32258,-10.94,-46.09,0.39,3.12,14.36,-0.12,31,5.10,14.40,1263,0.00,20.60,33.33,0.9375,30,0.00,12
32461,-10.16,-46.88,0.31,2.34,14.70,0.00,31,5.10,14.32,1231,0.00,19.31,33.33,0.9375,30,0.00,12
32664,-9.38,-46.88,0.31,0.78,14.93,0.00,31,5.10,14.32,1231,0.00,20.07,33.33,0.9375,30,0.00,12
32867,-8.59,-46.88,0.31,0.78,15.04,0.00,31,5.10,14.32,1261,0.00,20.04,33.33,0.9375,30,0.00,12
33070,-7.81,-46.88,0.31,0.78,15.16,0.12,31,5.10,14.16,1280,0.00,18.15,33.33,0.9375,30,0.00,13
33289,-6.25,-46.88,0.31,0.78,15.27,0.12,31,5.10,14.32,1278,0.00,17.87,33.33,0.9375,30,0.00,13
33492,-4.69,-46.88,0.31,0.78,15.39,0.12,31,5.10,14.00,1309,0.00,18.30,33.33,0.9375,30,0.00,13
33695,-2.34,-46.88,0.31,0.78,15.50,0.12,31,11.76,14.24,1308,0.00,17.93,33.33,0.9375,30,0.00,13
33898,-0.78,-46.88,0.31,0.78,15.62,0.12,31,12.94,14.40,1364,0.00,29.80,33.33,0.9375,30,0.00,13
34101,4.69,-49.22,0.08,0.78,16.08,0.25,31,12.94,14.24,1596,0.00,39.74,33.33,0.9375,30,0.00,14
34304,0.78,-47.66,0.23,0.78,14.13,-0.12,31,12.94,14.16,1792,0.25,46.86,33.33,0.9375,30,0.00,14
34508,-2.34,-46.88,0.31,1.56,13.90,-0.25,31,12.55,14.32,1888,0.00,43.53,33.33,0.9375,30,0.00,15
34711,-1.56,-46.88,0.31,1.56,14.47,-0.12,31,10.59,14.32,1897,0.00,38.80,33.33,0.9375,30,0.00,16
34914,-0.78,-47.66,0.23,3.12,14.81,0.00,31,8.63,14.16,1870,0.00,26.18,33.33,0.9375,30,0.00,17
35133,-2.34,-46.88,0.31,3.12,14.36,-0.12,31,8.63,14.32,1850,0.00,26.36,33.33,0.9375,30,0.00,18
35336,-2.34,-47.66,0.23,3.12,14.59,0.00,31,8.63,14.16,1873,0.00,24.07,33.33,0.9375,30,0.00,19
35539,-0.78,-46.88,0.31,3.12,14.93,0.00,31,8.63,14.32,1912,0.00,23.51,33.33,0.9375,30,0.00,19
35742,0.78,-46.88,0.31,3.12,15.04,0.12,31,8.63,14.32,1918,0.00,22.47,33.33,0.9375,30,0.00,20
35945,2.34,-47.66,0.23,3.12,15.16,0.12,31,8.63,14.16,1830,0.00,22.09,33.33,0.9375,30,0.00,20
36148,3.91,-47.66,0.23,3.12,15.04,0.12,31,8.63,14.16,1722,0.00,22.09,33.33,0.9375,30,0.00,21
36351,3.12,-47.66,0.23,3.12,14.59,0.00,31,8.24,14.08,1628,0.00,20.57,33.33,0.9375,30,0.00,21
36555,2.34,-47.66,0.23,3.12,14.47,0.00,31,8.24,14.32,1598,0.00,19.64,33.33,0.9375,30,0.00,22
36758,2.34,-46.88,0.31,3.12,14.59,0.00,31,7.84,14.24,1575,0.00,17.94,33.33,0.9375,30,0.00,22
36961,2.34,-46.88,0.31,3.12,14.47,0.00,31,7.84,14.24,1578,0.00,17.34,33.33,0.9375,30,0.00,22
37179,2.34,-47.66,0.23,3.12,14.70,0.00,31,7.84,14.24,1569,0.00,17.32,33.33,0.9375,30,0.00,23
37383,3.12,-47.66,0.23,3.12,14.81,0.00,31,7.84,14.24,1583,0.00,16.80,33.33,0.9375,29,0.00,23
37586,3.12,-46.88,0.31,3.12,14.70,0.00,31,7.84,14.32,1568,0.00,17.34,33.33,0.9375,29,0.00,23
37789,3.12,-46.88,0.31,3.91,14.70,0.00,31,7.84,14.24,1574,0.00,16.32,33.33,0.9375,29,0.00,24
37992,1.56,-46.88,0.31,3.91,14.36,-0.12,31,10.20,14.48,1608,0.00,16.70,33.33,0.9375,29,0.00,24
38195,1.56,-47.66,0.23,3.91,14.47,-0.12,31,22.75,14.16,1681,0.25,32.45,33.33,0.9375,29,26.27,24
38398,-0.78,-46.88,0.31,3.91,14.24,-0.12,31,23.53,14.24,2076,0.50,42.21,33.33,0.9375,29,0.00,25
38617,-2.34,-46.88,0.31,3.91,14.13,-0.12,31,22.75,14.24,2274,0.50,46.37,33.33,0.9375,29,0.00,26
38820,-5.47,-46.09,0.39,3.91,14.01,-0.12,31,15.69,14.32,2304,0.50,37.64,33.33,0.9375,29,0.00,27
39023,-8.59,-45.31,0.47,3.91,13.90,-0.25,31,14.12,14.24,2196,0.25,32.67,33.33,0.9375,28,0.00,28
39226,-9.38,-46.09,0.39,3.91,14.36,-0.12,31,14.12,14.16,2096,0.00,27.17,33.33,0.9375,28,0.00,29
39430,-7.03,-47.66,0.23,3.91,15.16,0.12,31,14.12,14.16,2058,0.00,24.62,33.33,0.9375,28,0.00,30
39633,-3.12,-48.44,0.16,3.91,15.62,0.12,31,14.12,14.08,2074,0.00,23.12,33.33,0.9375,28,0.00,31
39836,0.00,-50.00,0.00,3.91,15.39,0.12,31,14.12,14.32,2115,0.00,23.54,33.33,0.9375,28,0.00,31
40039,2.34,-50.00,0.00,3.91,15.04,0.12,31,12.55,14.16,2131,0.00,22.41,33.33,0.9375,28,0.00,32
40242,3.12,-48.44,0.16,3.91,14.70,0.00,31,7.06,14.24,2123,0.00,19.29,33.33,0.9375,27,0.00,32
40461,1.56,-46.09,0.39,3.91,14.47,0.00,31,7.45,14.32,2042,0.00,12.87,33.33,0.9375,27,0.00,33
40664,1.56,-46.88,0.31,3.91,14.47,-0.12,31,8.24,14.24,2007,0.00,12.23,33.33,0.9375,27,0.00,33
40867,1.56,-47.66,0.23,3.91,14.70,0.00,31,9.02,14.08,2022,0.00,16.04,33.33,0.9375,27,0.00,33
41070,4.69,-48.44,0.16,3.91,15.39,0.12,31,9.02,14.16,1846,0.00,15.37,33.33,0.9375,27,0.00,33
41273,7.81,-50.00,0.00,3.91,15.39,0.12,31,8.63,14.00,1738,0.00,14.50,33.33,0.9375,27,0.00,34
41477,4.69,-47.66,0.23,3.91,14.24,-0.12,31,9.41,14.32,1631,0.00,12.12,33.33,0.9375,27,0.00,34
41680,2.34,-47.66,0.23,3.91,14.01,-0.25,31,7.45,14.16,1651,0.00,12.55,33.33,0.9375,27,0.00,34
