Time (msec),A/F Correction #1 (%),A/F Correction #3 (16-bit ECU) (%),A/F Correction #3 (32-bit ECU) (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),A/F Sensor #1 Current (mA),A/F Sensor #1 Resistance (ohms),Accelerator Pedal Angle (%),Battery Voltage (V),Engine Speed (rpm),Fine Learning Knock Correction (degrees),Fuel Consumption (Est.) (l/100km),Fuel Pump Duty (%),IAM (multiplier),Intake Air Temperature (C),Primary Wastegate Duty Cycle (%),Vehicle Speed (kph)
45272,-3.91,-50.78,-0.08,0.00,13.55,-0.38,31,0.00,14.32,970,0.00,3.51,33.33,0.8750,30,0.00,33
45475,-3.91,-50.78,-0.08,0.00,13.67,-0.25,31,0.00,14.40,980,0.00,3.53,33.33,0.8750,30,0.00,33
45663,-3.91,-50.78,-0.08,0.00,13.78,-0.25,31,0.00,14.48,974,0.00,3.62,33.33,0.8750,30,0.00,32
45882,-3.91,-50.78,-0.08,0.00,13.78,-0.25,31,0.00,14.40,997,0.00,3.59,33.33,0.8750,30,0.00,32
46085,-3.91,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.40,1016,0.00,3.59,33.33,0.8750,30,0.00,32
46288,-3.12,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.32,1024,0.00,3.67,33.33,0.8750,30,0.00,31
46491,-3.12,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.40,1031,0.00,3.62,33.33,0.8750,30,0.00,31
46694,-3.12,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.32,1020,0.00,3.74,33.33,0.8750,30,0.00,30
46897,-2.34,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.40,1017,0.00,3.92,33.33,0.8750,30,0.00,29
47100,-2.34,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.40,997,0.00,4.03,33.33,0.8750,30,0.00,28
47304,-2.34,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.40,972,0.00,4.03,33.33,0.8750,30,0.00,28
47507,-2.34,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.32,930,0.00,4.21,33.33,0.8750,30,0.00,27
47710,-2.34,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.40,911,0.00,4.38,33.33,0.8750,30,0.00,26
47913,-1.56,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.32,886,0.00,4.52,33.33,0.8750,31,0.00,25
48116,-1.56,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.40,892,0.00,4.74,33.33,0.8750,31,0.00,24
48335,-1.56,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.40,970,0.00,5.17,33.33,0.8750,31,0.00,22
48538,-1.56,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.40,1045,0.00,5.38,33.33,0.8750,31,0.00,21
48741,-1.56,-50.78,-0.08,0.00,13.78,-0.25,31,0.00,14.24,1047,0.00,5.73,33.33,0.8750,31,0.00,20
48944,-2.34,-50.78,-0.08,0.00,13.67,-0.25,31,0.00,14.32,1022,0.00,6.14,33.33,0.8750,31,0.00,19
49148,-2.34,-50.78,-0.08,0.00,13.67,-0.38,31,0.00,14.32,988,0.00,6.44,33.33,0.8750,31,0.00,18
49351,-2.34,-50.78,-0.08,0.00,13.55,-0.38,31,0.00,14.40,949,0.00,6.86,33.33,0.8750,31,0.00,17
49554,-2.34,-50.78,-0.08,0.00,13.67,-0.38,31,0.00,14.40,919,0.00,7.29,33.33,0.8750,31,0.00,16
49757,-2.34,-50.78,-0.08,0.00,13.67,-0.38,31,0.00,14.32,886,0.00,7.87,33.33,0.8750,31,0.00,15
49960,-2.34,-50.78,-0.08,0.00,13.67,-0.25,31,0.00,14.48,854,0.00,9.07,33.33,0.8750,31,0.00,14
50179,-2.34,-50.78,-0.08,0.00,13.78,-0.25,31,0.00,14.32,818,0.00,9.69,33.33,0.8750,31,0.00,13
50382,-2.34,-50.78,-0.08,0.00,13.78,-0.25,31,0.00,14.40,758,0.00,10.33,33.33,0.8750,31,0.00,12
50580,-1.56,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.40,732,0.00,11.11,33.33,0.8750,31,0.00,11
50784,-0.78,-50.78,-0.08,0.00,14.01,-0.12,31,0.00,14.24,763,0.00,12.12,33.33,0.8750,31,0.00,10
50987,-0.78,-50.78,-0.08,0.00,14.13,-0.12,31,0.00,14.32,706,0.00,13.36,33.33,0.8750,31,0.00,9
51190,0.00,-50.78,-0.08,0.00,14.24,-0.12,31,0.00,14.32,753,0.00,14.57,33.33,0.8750,31,0.00,8
51393,0.00,-50.78,-0.08,0.00,14.24,-0.12,31,0.00,14.48,787,0.00,16.94,33.33,0.8750,31,0.00,7
51596,0.78,-50.78,-0.08,0.00,14.13,-0.12,31,0.00,14.32,769,0.00,17.13,33.33,0.8750,31,0.00,7
51799,0.00,-50.78,-0.08,0.00,14.01,-0.12,31,0.00,14.32,756,0.00,19.93,33.33,0.8750,31,0.00,6
52018,0.00,-50.78,-0.08,0.00,14.01,-0.25,31,0.00,14.32,728,0.00,20.20,33.33,0.8750,31,0.00,6
52221,0.78,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.32,724,0.00,24.03,33.33,0.8750,31,0.00,5
52424,0.78,-50.78,-0.08,0.00,13.90,-0.25,31,0.00,14.32,708,0.00,23.90,33.33,0.8750,31,0.00,5
52628,-0.78,-46.88,0.31,0.00,13.90,-0.25,31,0.00,14.40,706,0.00,30.21,33.33,0.8750,31,0.00,4
52831,-1.56,-46.88,0.31,0.00,13.90,-0.25,31,0.00,14.24,690,0.00,30.21,33.33,0.8750,31,0.00,4
53034,-1.56,-46.88,0.31,0.00,13.90,-0.25,31,0.00,14.16,682,0.00,39.83,33.33,0.8750,31,0.00,3
53237,-2.34,-46.88,0.31,0.00,14.01,-0.25,31,0.00,14.40,680,0.00,39.05,33.33,0.8750,31,0.00,3
53440,-2.34,-46.88,0.31,0.00,14.13,-0.12,31,0.00,14.16,665,0.00,59.11,33.33,0.8750,31,0.00,2
53659,-2.34,-46.88,0.31,0.00,14.24,-0.12,31,0.00,14.32,661,0.00,117.26,33.33,0.8750,31,0.00,1
53846,-2.34,-46.88,0.31,0.00,14.36,-0.12,31,0.00,14.40,671,0.00,114.02,33.33,0.8750,31,0.00,1
54050,-2.34,-46.88,0.31,0.00,14.47,-0.12,31,0.00,14.32,679,0.00,0.00,33.33,0.8750,31,0.00,0
54253,-2.34,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.56,684,0.00,0.00,33.33,0.8750,31,0.00,0
54456,-1.56,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.16,698,0.00,0.00,33.33,0.8750,31,0.00,0
54659,-1.56,-46.88,0.31,0.00,14.59,0.00,31,0.00,14.24,697,0.00,0.00,33.33,0.8750,31,0.00,0
54862,-1.56,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.48,690,0.00,0.00,33.33,0.8750,31,0.00,0
55081,-1.56,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.24,685,0.00,0.00,33.33,0.8750,31,0.00,0
55284,-1.56,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.16,684,0.00,0.00,33.33,0.8750,31,0.00,0
55487,-1.56,-46.88,0.31,0.00,14.70,0.00,31,0.00,14.40,676,0.00,0.00,33.33,0.8750,31,0.00,0
55691,-1.56,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.24,678,0.00,0.00,33.33,0.8750,31,0.00,0
55894,-1.56,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.32,683,0.00,0.00,33.33,0.8750,31,0.00,0
56097,-1.56,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.48,679,0.00,0.00,33.33,0.8750,31,0.00,0
56284,-1.56,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.16,681,0.00,0.00,33.33,0.8750,31,0.00,0
56488,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.32,685,0.00,0.00,33.33,0.8750,31,0.00,0
56691,-0.78,-46.88,0.31,0.00,14.81,0.00,31,0.00,14.16,676,0.00,0.00,33.33,0.8750,31,0.00,0
